Influence,Participant,Email,Name,Joined Date,Approximate Locations,Assessment Amount,Civility Pledge,"Civility Pledge: Yes, I agree",Friend Referral,Friend Referral: Yes,Friend Referral: No,How did you hear about this survey?,How did you hear about this survey?: From a friend,How did you hear about this survey?:  From the news media,How did you hear about this survey?: I received an email from the City inviting me to participate,How did you hear about this survey?: From the City’s website,How did you hear about this survey?: From a social media post by a friend/business/organization I follow,How did you hear about this survey?: From a City Council meeting or from a Councillor,How did you hear about this survey?:  From one of the City’s social media channels,How long have you been living in Prince George?,How long have you been living in Prince George?: More than 10 years,How long have you been living in Prince George?: 6-10 years,How long have you been living in Prince George?: 3-5 years,How long have you been living in Prince George?: Less than 1 year,How long have you been living in Prince George?: 1-2 years,New Learnings,New Learnings: Yes,New Learnings: No,Other Processes,Other Processes: Yes,Other Processes: No,Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment,Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment: Pools,Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment: Arenas,Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment: Playgrounds,Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment: Sidewalks,Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment: Roads,Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment: Stormwater drainage,Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment: Energy – heat and electricity,Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment: Nature parks and trails,"Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment: Outdoor recreation facilities such as basketball courts, tennis courts, and ball diamonds",Please indicate the category(ies) of infrastructure that you feel should be the City’s highest priority(ies) for investment: Performing Arts,Process Evaluation,Property Type,Provide your input to the City of Prince George,Provide your input to the City of Prince George: Submit,Satisfaction  Roads and Sidewalks Services,Satisfaction Bylaw Enforcement,Satisfaction Community Planning and Infrastructure,Satisfaction Community Support services,Satisfaction Corporate Services,Satisfaction Fire Protection,"Satisfaction Parks, Trails, and Beautification",Satisfaction Police Services,Satisfaction Public Transit,Satisfaction Recreation and Community Services,Satisfaction Services that attract and retain business and facilitate development,Satisfaction Snow and Ice Control,Support for Final Decision,Support for Final Decision: Yes,Support for Final Decision: No,Support for Group Results,Support for Group Results: Yes,Support for Group Results: No,What do you feel are key topics the City should consider as it establishes its 2023 budget?,Corporate Services,Community Planning and Infrastructure,Services that attract and retain business and facilitate development,Community Support services ,"Parks, Trails, and Beautification",Recreation and Community Services, Public Transit Services,Roads and Sidewalks,Snow and Ice Control,Bylaw Enforcement Services,Fire Protection Services,Police Services,Services that attract and retain business and facilitate development Weight,Community Planning and Infrastructure Weight,Community Support services  Weight,Snow and Ice Control Weight,Roads and Sidewalks Weight,"Parks, Trails, and Beautification Weight",Recreation and Community Services Weight,Police Services Weight,Fire Protection Services Weight,Bylaw Enforcement Services Weight, Public Transit Services Weight,Corporate Services Weight
1,8daa5313-7d2f-4f51-a008-57acc9b9db39,,Guest,"Oct 06, 2022  4:35pm",Montreal (CA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,a5d7fe31-f044-491b-8650-933dc11f1d6d,,Guest,"Oct 06, 2022  5:07pm",Surrey (CA),,,,,,,I received an email from the City inviting me to participate,,,Selected,,,,,More than 10 years,Selected,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,"Parks, Trails, and Beautification: 5% Increase (101.1801663)",,,,,Bylaw Enforcement Services: Keep the Same (47.99),Fire Protection Services: 5% Increase (400.2051272),Police Services: Keep the Same (612.66),,,,,,,,,,,,
1,1777e554-724c-41b2-80b3-c6d234629357,,Guest,"Oct 06, 2022  5:18pm",Montreal (CA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bylaw Enforcement Services: Keep the Same (47.99),,,,,,,,,,,,,,
1,b15233f4-0967-4a73-8230-b88fcae7718c,,Guest,"Oct 06, 2022  5:19pm",Montreal (CA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bylaw Enforcement Services: Keep the Same (47.99),Fire Protection Services: Keep the Same (381.15),,,,,,,,,,,,,
1,349a425c-8cd6-4e71-97fb-6f24a53bca1e,,Guest,"Oct 17, 2022 11:31pm",(CA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,47efecd7-a771-4f8c-b748-3eb03978170c,,Guest,"Oct 18, 2022  4:35pm",Metairie (US),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,093d4e63-e1c9-43e8-be6a-6f979c8d955f,,Guest,"Oct 24, 2022  6:49pm",Prince George (CA),"625,000",,,,,,From one of the City’s social media channels,,,,,,,Selected,More than 10 years,Selected,,,,,,,,,,,"Stormwater drainage, Nature parks and trails",,,,,,Selected,,Selected,,,,,Submit,Selected,,3,,,,3,4,,3,4,7,,,,,,,,,,,Services that attract and retain business and facilitate development: 10% Increase (8),,"Parks, Trails, and Beautification: 10% Increase (105.9982695)",, Public Transit Services: 15% Decrease (72.23513809),,Snow and Ice Control: Keep the Same (199.02),Bylaw Enforcement Services: 10% Increase (52.79147298),Fire Protection Services: 15% Decrease (323.9755792),Police Services: 10% Increase (673.9213912),,,,,46,,44,75,41,,42,
1,4b7eaedf-2767-4157-b30a-673a6de588ef,,Guest,"Oct 24, 2022  6:53pm",Edmonton (CA),,,,,,,I received an email from the City inviting me to participate,,,Selected,,,,,More than 10 years,Selected,,,,,,,,,,,"Pools, Arenas, Playgrounds, Sidewalks, Roads, Stormwater drainage, Energy – heat and electricity, Nature parks and trails",Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,,,,,Submit,Selected,6,4,6,6,4,7,6,4,3,4,4,7,,,,,,,"Downtown crime and addiction/safety in our community
Community planning related to all the new development -where will all these kids go to school?",Corporate Services: 5% Decrease (376.4111022),Community Planning and Infrastructure: Keep the Same (139.66),Services that attract and retain business and facilitate development: Keep the Same (6.46),Community Support services : 5% Increase (122.9424394),Keep the same (96.36),Recreation and Community Services: 5% Increase (180.5907037), Public Transit Services: 10% Increase (93.48076694),Roads and Sidewalks: 5% Increase (117.8297362),Snow and Ice Control: 10% Increase (218.9254869),Bylaw Enforcement Services: Keep the Same (47.99),Fire Protection Services: Keep the Same (381.15),Police Services: 10% Increase (673.9213912),64,64,62,97,77,73,72,94,90,60,61,
1,050f126d-09b6-45e8-ad3b-99ee349c7042,,Guest,"Oct 24, 2022  6:56pm",Prince George (CA),,,,Yes,Selected,,I received an email from the City inviting me to participate,,,Selected,,,,,1-2 years,,,,,Selected,,,,,,,"Sidewalks, Roads, Nature parks and trails",,,,Selected,Selected,,,Selected,,,6,,,,4,,,6,,,,,,,,4,Yes,Selected,,Yes,Selected,,,,,,,"Parks, Trails, and Beautification: 10% Increase (105.9982695)",Recreation and Community Services: 10% Increase (189.190261),,,Snow and Ice Control: 10% Increase (218.9254869),,,,,,,70,71,61,,,,,,
1,413f8816-e62f-4a1c-90a5-81fc1621dd48,,Guest,"Oct 24, 2022  6:57pm",Calgary (CA),,,,,,,From one of the City’s social media channels,,,,,,,Selected,More than 10 years,Selected,,,,,,,,,,,"Sidewalks, Roads, Stormwater drainage, Energy – heat and electricity",,,,Selected,Selected,Selected,Selected,,,,,,,,,5,,4,,,7,,,,,6,,,,,,,How to limit waste of money with all the middle management. Need an system overhaul.,Corporate Services: 5% Decrease (376.4111022),Community Planning and Infrastructure: 5% Increase (146.6394178),Services that attract and retain business and facilitate development: 10% Decrease (4),Community Support services : 5% Increase (122.9424394),"Parks, Trails, and Beautification: 5% Decrease (91.54396003)",Recreation and Community Services: 5% Decrease (163.3915891), Public Transit Services: 5% Decrease (80.73338963),Roads and Sidewalks: 5% Increase (117.8297362),Snow and Ice Control: 5% Increase (208.9743284),Bylaw Enforcement Services: Keep the Same (47.99),Fire Protection Services: Keep the Same (381.15),Police Services: 10% Increase (673.9213912),22,66,62,69,67,77,29,67,,40,16,20
